title,mileage,primary_price,dealer_name,sds_rating_count,sds_rating_link_sds_button_link,link
2019 Mercedes-Benz E-Class E 450 4MATIC,"23,314 mi.","$59,988","Viti, Inc.",4.9,739 reviews,https://www.cars.com/vehicledetail/4e84ef46-ce6e-4941-983c-7bc3410d175f/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"40,587 mi.","$30,443",Mercedes-Benz of Nanuet,4.7,262 reviews,https://www.cars.com/vehicledetail/12279b36-1f57-46f9-86ac-994b1ee8ecc1/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"19,431 mi.","$31,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/ebd14823-cf2f-4b92-9d05-6f01216f2d56/
2020 Mercedes-Benz GLA 250 Base 4MATIC,"32,799 mi.","$31,903",Mercedes-Benz of Goldens Bridge,4.4,236 reviews,https://www.cars.com/vehicledetail/cfc607cf-1432-4a7e-857e-2091441e7d24/
2020 Mercedes-Benz CLA 250 Base,"45,958 mi.","$32,991",Mercedes-Benz Of Henderson,4.9,"1,711 reviews",https://www.cars.com/vehicledetail/87b09f33-55bd-47e7-8f4e-b74923f6cd90/
2022 Mercedes-Benz AMG GLC 43 Base 4MATIC,"9,360 mi.","$59,994",Mercedes-Benz of Houston North,4.5,"1,709 reviews",https://www.cars.com/vehicledetail/ff5cc711-d7e7-40b3-904b-3b4202fe1698/
2020 Mercedes-Benz GLS 450 Base 4MATIC,"26,231 mi.","$71,908",RBM of Atlanta,4.2,"1,026 reviews",https://www.cars.com/vehicledetail/31239148-dec1-4699-959d-5bb87a558e9e/
2021 Mercedes-Benz GLA 250 Base 4MATIC,"12,429 mi.","$38,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/fdbef684-6bab-4a88-b34a-d59b0ed5cf99/
2019 Mercedes-Benz GLA 250 Base 4MATIC,"17,503 mi.","$30,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/1dce6e47-3add-499a-b2ae-b5fb47c9baf0/
2019 Mercedes-Benz GLA 250 Base 4MATIC,"17,099 mi.","$30,900",Mercedes Benz Manhattan Inc.,3.5,464 reviews,https://www.cars.com/vehicledetail/e8f9024d-b692-407e-af7d-56822c2a2e36/
2017 Mercedes-Benz GLA 250 Base 4MATIC,"44,331 mi.","$23,789",Balise Hyundai of Fairfield,3.2,263 reviews,https://www.cars.com/vehicledetail/8411c433-9193-4789-84d2-bee482952b36/
