name,price,location,sellerName,itemUrl
Giày Trắng Nữ Giày Nữ Mẫu Mới 2022 Giày Mẫu Hot Thường Ngày Mùa Xuân 2022 Dễ Phối Mùa Hè Thể Thao Mùa Xuân Thu Đế Dày,"₫167,000",Overseas,Lazada Global,https://www.lazada.vn/products/giay-trang-nu-giay-nu-mau-moi-2022-giay-mau-hot-thuong-ngay-mua-xuan-2022-de-phoi-mua-he-the-thao-mua-xuan-thu-de-day-i1424506100.html
Giày Hán Phục Giày Thêu Hoa Trẻ Em Phong Cách Trung Quốc Bé Gái Giày Vải Bắc Kinh Cổ Trang Biểu Diễn Đồng Hồ Em Bé Phong Cách Cổ Dân Tộc,"₫86,000",Overseas,Lazada Global,https://www.lazada.vn/products/giay-han-phuc-giay-theu-hoa-tre-em-phong-cach-trung-quoc-be-gai-giay-vai-bac-kinh-co-trang-bieu-dien-dong-ho-em-be-phong-cach-co-dan-toc-i1816844263.html
Giày thể thao nam sneakers đế trắng chống trơn nhẹ êm mềm thoáng khí khử mùi đi học đi làm du lịch dã ngoại K3 ( 2 màu ),"₫70,000",Hà Nội,shopgiay 178,https://www.lazada.vn/products/giay-the-thao-nam-sneakers-de-trang-chong-tron-nhe-em-mem-thoang-khi-khu-mui-di-hoc-di-lam-du-lich-da-ngoai-k3-2-mau-i1680695082.html
Yierku 2022 mùa xuân và mùa thu phiên bản mới của Hàn Quốc của giày thể thao giản dị giày chạy bộ thoải mái không trơn trượt giày nam bình thường hợp thời trang giày nam phù hợp,"₫147,000",Overseas,Ranger Store,https://www.lazada.vn/products/yierku-2022-mua-xuan-va-mua-thu-phien-ban-moi-cua-han-quoc-cua-giay-the-thao-gian-di-giay-chay-bo-thoai-mai-khong-tron-truot-giay-nam-binh-thuong-hop-thoi-trang-giay-nam-phu-hop-i2007602072.html
Giày thể thao nam sneakers màu đen điểm nhấn tre trung kiểu dáng mới ôm chân nhẹ thoáng tăng ma sát dùng đi học đi chơi sự kiện S 65,"₫31,000",Hà Nội,shopgiay 178,https://www.lazada.vn/products/giay-the-thao-nam-sneakers-mau-den-diem-nhan-tre-trung-kieu-dang-moi-om-chan-nhe-thoang-tang-ma-sat-dung-di-hoc-di-choi-su-kien-s-65-i1245614396.html
Giày Vải Bắc Kinh Cổ Giày Nữ Giày Thoải Mái Đế Bằng Giày Một Lớp Giày Chạy Bộ Giày Học Sinh Mẫu Mùa Xuân Cổ Thấp Miệng Nông Xỏ Chân Cho Nữ,"₫76,000",Overseas,Lazada Global,https://www.lazada.vn/products/giay-vai-bac-kinh-co-giay-nu-giay-thoai-mai-de-bang-giay-mot-lop-giay-chay-bo-giay-hoc-sinh-mau-mua-xuan-co-thap-mieng-nong-xo-chan-cho-nu-i1814831508.html
[Tặng kèm 1 đôi tất màu ngẫu nhiên] Giày thể thao nam nữ đế tăng chiều cao phối sọc thời trang,"₫169,000",Hồ Chí Minh,Lesangshop,https://www.lazada.vn/products/tang-kem-1-doi-tat-mau-ngau-nhien-giay-the-thao-nam-nu-de-tang-chieu-cao-phoi-soc-thoi-trang-i2085119882.html
Giày Thể Thao Nam Biti's Hunter X Festive Aurora Black DSMH03401XDG (xanh Dương),"₫641,000",Hồ Chí Minh,Biti's,https://www.lazada.vn/products/giay-the-thao-nam-bitis-hunter-x-festive-aurora-black-dsmh03401xdg-xanh-duong-i1076692853.html
[Hoàn tiền 6%]GIÀY THỂ THAO RĂNG CƯA S16,"₫135,000",Hà Nội,Bibi _store,https://www.lazada.vn/products/hoan-tien-6giay-the-thao-rang-cua-i1124500021.html
Giày nhỏ màu trắng cho phụ nữ mùa xuân mới thích hợp các dịp Sona Shoes Store,"₫133,000",Overseas,Sona shoes Store,https://www.lazada.vn/products/giay-nho-mau-trang-cho-phu-nu-mua-xuan-moi-thich-hop-cac-dip-sona-shoes-store-i1788784899.html
