Name,Price,Seller,Image
"Bộ bàn phím chuột XSmart kèm tai nghe gaming chụp tai, combo chơi game cho máy tính laptop pc K618+V8 tia sét+K3 - Hàng Chính Hãng",499000,XSmart Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/0a/43/d3/8e46242988245effd7a56f92161e1e4d.PNG
Laptop Gigabyte U4 UD-50VN823SO 14 inch Core i5-1155G7/ Win 11 - Hàng Chính Hãng,15490000,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/a2/68/d7/9785253def880c6afdad5df2d1eab8bf.png
Laptop Dell Alienware M15 R6 P109F001DBL 15.6 Inch Core i7-11800H/RTX 3060/Win11 + Office,58340000,Tiki Trading,https://salt.tikicdn.com/cache/280x280/ts/product/6a/1a/6e/d777fa9591575a75201f9f523ee1e36c.jpg
"Laptop Acer Aspire 7 A715-42G-R1SB (AMD R5-5500U/ 8GB DDR4/ 256GB SSD/ GTX 1650 4GB/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",14250000,Ben Computer,https://salt.tikicdn.com/cache/280x280/ts/product/4b/f1/d7/becb5398f0be90119a855804ad2a05ce.jpg
Laptop MSI Gaming GF63 Thin 11SC-664VN (I5-11400H Gen 11th | 8GB DDR4 | SSD 512GB PCle | VGA GTX 1650 4GB GDDR6 | 15.6 FHD IPS 144Hz | Win11| Black) - Hàng Chính Hãng,15690000,NGUYENVUSTORE,https://salt.tikicdn.com/cache/280x280/ts/product/e8/3d/8f/3dd844a32fcdb32c8849696c860362f6.jpg
Laptop HP 15s-fq2712TU 7C0X2PA (Core i3 1115G4/ 8GB/ 256GB SSD/ Intel UHD Graphics/ 15.6inch Full HD/ Windows 11 Home/ Bạc/ Vỏ nhựa) - Hàng Chính Hãng,10962000,HP Flagship Ben Computer Store,https://salt.tikicdn.com/cache/280x280/ts/product/7a/b4/ec/62de16af94aee190b18afcf66a4fa5f2.jpg
"Laptop Acer Nitro 5 AN515-45-R6EV (AMD R5-5600H/ 8GB/ 512GB/ 4GB GTX1650/ 15.6 FHD IPS, 144Hz/ Win11) - Hàng Chính Hãng",18681000,Ben Computer,https://salt.tikicdn.com/cache/280x280/ts/product/cf/98/24/6b65dc67b33f0d89197f96c9ed1f7c3b.jpg
Laptop ASUS TUF Gaming A15 FA506ICB-HN355W (R5-4600H | 8GB | 512GB | GeForce RTX 3050 4GB | 15.6′ FHD 144Hz | Win 11) - Hàng Chính Hãng,18490000,NGUYENVUSTORE,https://salt.tikicdn.com/cache/280x280/ts/product/6f/de/e6/1e40f7a23eca6f402aefe5fb9dbda9be.png
"Laptop Lenovo 100e Gen 2 N4020/4GB/64GB eMMC/Intel UHD Graphics 600/11.6""HD/Win 10 Pro - HÀNG CHÍNH HÃNG",4790000,Máy tính Bảo Ngọc,https://salt.tikicdn.com/cache/280x280/ts/product/30/b2/df/7d074b54a6a1f4c940bcd3340031c28d.jpg
Laptop Acer Gaming Nitro 5 AN515-45-R86D (NH.QBCSV.005) (R7 5800H/8GB Ram/512GB SSD/RTX3060 6G/15.6 inch FHD 144Hz/Win 11/Đen) Hàng chính hãng,27990000,CIVIP Technology,https://salt.tikicdn.com/cache/280x280/ts/product/f1/53/f6/2ed9cb2f883df319ddca546390d6fd21.jpg
Lenovo Thinkpad X1 GEN 6 Carbon Thế Hệ 8 Core i5 – 8250U / Ram 8G / SSD 256Gb / 14 “FHD / SIÊU MỎNG - SIÊU NHANH - HÀNG CHÍNH HÃNG,9029000,Âu Cơ Store,https://salt.tikicdn.com/cache/280x280/ts/product/14/fe/30/9422b306f97fff368aba1ad011202be1.jpg
Laptop HP Gaming VICTUS 16 d0200TX 4R0U2PA i7 11800H - Hàng chính hãng,26890000,HP 1Digital Store,https://salt.tikicdn.com/cache/280x280/ts/product/47/7e/f9/eada54e71d1b3a4a61e7a190863bce63.png
